word,word_occurrences
admire,6971
cane,2546
bald,11245
collect,6956
aunt,2554
quiet,13744
turn,9468
tuesday,2547
sorry,11230
bite,6979
needle,2550
lucky,11154
wrap,9627
wide,13779
stubborn,11157
have,6979
helmet,2614
uncomfortable,11300
put,7014
brave,11095
clap,7045
ink,2607
organized,11232
climb,7043
sign,9498
hairy,11342
reach,6935
invitation,2652
large,11179
become,7026
bathrobe,2524
filthy,11073
mind,6894
loop,2498
dull,11238
urge,9613
bird,2526
mild,10924
fall,9445
meeting,2627
anxious,11184
spin,7035
mosquito,2481
gentle,11152
escape,9629
cereal,2644
nervous,11114
airport,2598
rude,11152
sharp,6844
bicycle,2501
pink,13811
wash,7006
goose,2545
thin,11219
miss,6987
water,2543
young,13635
split,7006
seat,9312
cute,11293
close,6966
flashlight,2591
wealthy,11293
create,7021
heel,2641
bad,11085
dark,13750
hungry,10973
success,2558
cool,11242
complete,6823
holiday,2605
ugly,11157
replace,6887
rhythm,2532
healthy,11390
prevent,7039
ash,2609
dizzy,11514
pull,7004
crown,2572
tired,11291
fly,9633
coat,2610
popular,11181
stumble,6839
well,2594
easy,11110
brain,2593
modern,11292
rescue,6883
cactus,2514
crazy,11262
feel,7063
lawyer,2529
open,20563
dive,6815
cube,2512
wise,11208
borrow,6927
butterfly,2616
original,11248
weigh,7017
frame,2570
delicate,11317
flag,2557
pipe,2505
dirty,11067
ring,6863
zebra,2558
name,9568
bathroom,2556
harsh,11236
add,7002
careful,11078
deliver,7005
market,2626
lonely,11223
waste,2525
dare,6937
watch,9693
light,13740
gain,6973
apron,2610
furry,11211
gift,2516
jealous,11064
jog,9590
uniform,2465
helpful,11389
strike,6948
kid,2656
powerful,11227
use,6938
school,2584
pay,6906
taxi,2578
ant,2560
pause,6882
moon,2567
unique,11118
enter,7111
baseball,2559
brilliant,11228
roll,6928
cartoon,2540
jolly,11282
bedroom,2531
mail,9466
fan,2578
tell,6984
shade,2605
obedient,11114
show,6803
marble,2521
interesting,11163
shout,7120
spider,2455
heavy,11243
underground,2543
deaf,11243
join,6982
dinner,2590
scared,11253
plane,2533
spicy,11173
plan,6951
university,2594
cheerful,11261
touch,9508
knot,2722
good,11165
search,9452
new,11178
youth,2541
helpless,11211
peek,7073
bubble,2579
hurt,11273
swim,9434
idea,2575
grateful,11239
grab,6734
wild,13664
sour,11446
nap,9407
silver,2618
orange,13912
try,6932
blue,13768
tie,9486
week,2578
angry,11270
crawl,6942
nightmare,2583
weak,11238
repair,6871
ice,2532
elderly,11224
otter,2589
selfish,11296
candy,2525
gifted,11061
welcome,9337
mud,2557
kneel,6914
score,2591
curious,11235
quarrel,6865
umbrella,2564
colorful,11279
rest,6998
towel,2497
cheap,11142
twist,6949
cricket,2513
safe,13776
skirt,2550
comfortable,11245
scatter,6980
cold,13805
repeat,7086
network,2676
wear,6904
sandwich,2686
busy,11265
birdcage,2480
rough,11301
sigh,6865
pedal,2601
belong,6978
tree,2551
disgusting,11301
swing,9617
adventurous,11186
mirror,2568
dangerous,11310
test,9635
reef,2499
strong,11072
spend,7051
task,2645
support,6915
crib,2526
behave,6904
drain,2596
lock,9409
shrink,7040
patch,2635
unusual,11223
keep,7047
engine,2509
regular,11297
mix,7031
ear,2631
rare,11378
recognize,7102
child,2601
tuna,2563
boring,11192
look,9689
peaceful,10990
joke,9723
movie,2598
attractive,11193
muffin,2488
long,11434
garden,2606
let,7013
pocket,2636
clear,11349
